"cpi","deg","keymap"
12.7777620611049,57.1789599304949,1
12.6720351403954,74.7568890112349,1
11.6431261755548,30.8381421857497,1
13.0789134940715,35.2182057947142,1
12.6286254447237,107.540389377825,1
11.7665534170883,47.413587355221,1
12.1934032123826,111.670477093001,1
11.0914150117249,91.7854720992557,1
12.464079894123,72.6987018675237,1
12.2963108733574,45.4222274189252,1
13.1164725994524,50.4223767448092,1
12.0620293309454,64.0857360944393,1
11.5074984334019,30.2194024004639,1
12.6304144973755,66.7264856019566,1
11.5085751203578,41.2719906138258,1
12.2938402938217,74.3508316505936,1
13.4666591410654,67.6541756215621,1
11.5149344028254,99.266424045687,1
11.6143405084883,57.1469652838551,1
11.9350866110332,55.3379351801962,1
11.5723294447779,54.5752079353838,1
12.2213672217387,73.5486679226426,1
12.5958917902957,61.4032469748931,1
11.7569711297335,84.0339623398863,1
11.9736906100398,76.0824712798545,1
11.7296746556861,74.2037430306559,1
12.1746883020467,68.6608072507764,1
11.7957536406908,52.207777588507,1
11.1281249513266,67.7086125871733,1
12.0367111662223,46.0065780474178,1
8.1598425738207,49.8366701708793,2
9.57912952595358,140.588831778119,2
8.32788865523994,70.5505035069931,2
9.2706615079776,18.4961251802787,2
8.59846826190839,89.3319977997084,2
9.14938746361259,122.198276651775,2
8.08079938581469,51.4886497976225,2
9.65058819257521,43.3975468293508,2
8.02570234227617,56.6995707231615,2
9.30822423139571,95.4706476626664,2
9.2060761878906,86.9061549972169,2
8.76994923431816,70.4870158683118,2
8.54521080076789,52.2818836971193,2
9.00139344258575,80.4966805994579,2
10.2421766826294,105.860444688774,2
8.55231015963259,78.4561509269048,2
8.61355320724958,54.3972014070031,2
9.56559395898557,86.8911717294618,2
8.11699759348306,43.6170896962344,2
8.20974441482458,85.4287444907929,2
8.38884661624267,72.1565084379268,2
7.89365033276572,82.9791818304567,2
8.64010720241008,56.7620007545739,2
10.3880144610235,48.1696868458961,2
8.97537944204388,138.366519861369,2
9.25787615624411,56.8318669097998,2
9.19074611682466,37.0621972017356,2
8.7309769533185,88.413853920189,2
8.94496632631007,49.7136811285286,2
8.85809908248417,31.1375838533588,2
